,I,B,B_int,T,V1,V2,V3,V4,V5,V6,V7,V8,Rel_value,multiplier,R1,R2,R3,R4,R5,R6,R7,R8,Ra,Rb,R,MR
22,0.001,-3000.2858886719,-3000,125.000138855,5246.302075545,-5246.200696498,4660.193929186,-4660.139817705,5245.480405309,-5245.512625353,4659.650566237,-4659.478734999,-1.7711e-06,1000000,5.246302075545,-5.246200696498,4.660193929186,-4.660139817705,5.245480405309,-5.245512625352999,4.659650566237,-4.659478734999,5.24587395067625,4.65986576203175,4.952869856354,-0.19510070574175647
23,0.001,-3500.4595703125,-3500,125.0004909515,5244.672062709,-5244.644786101,4658.272178452,-4658.263365582,5243.960170182,-5243.996755018,4657.755523383,-4657.576475748,-1.7774e-06,1000000,5.244672062709,-5.244644786101,4.658272178452,-4.658263365582,5.2439601701820004,-5.243996755018,4.657755523383,-4.657576475748,5.2443184435025,4.65796688579125,4.951142664646875,-0.22990521290446866
24,0.001,-4000.5548217773,-4000,125.0005500793,5243.251743322,-5243.171371906,4656.482655046,-4656.40676383,5242.479936324,-5242.464986843,4655.947841339,-4655.778181943,-1.7622e-06,1000000,5.243251743322,-5.243171371906,4.656482655046,-4.656406763830001,5.242479936324,-5.242464986842999,4.655947841339,-4.655778181943,5.24284200959875,4.6561538605395,4.949497935069125,-0.26304803204457466
25,0.001,-4500.1953125,-4500,125.0005828857,5241.790750842,-5241.71601104,4654.751307145,-4654.69084369,5241.020554561,-5241.059767928,4654.173870196,-4654.048872334,-1.7688e-06,1000000,5.241790750842,-5.24171601104,4.654751307145,-4.65469084369,5.241020554561,-5.241059767928,4.654173870196001,-4.654048872334,5.2413967710927505,4.654416223341251,4.947906497217001,-0.29511697372302564
26,0.001,-5000.6169921875,-5000,125.0003437042,5240.354855222,-5240.23820157,4653.036172449,-4652.979781565,5239.550871215,-5239.61137531,4652.441327129,-4652.355825466,-1.7769e-06,1000000,5.240354855222,-5.2402382015699995,4.653036172449,-4.652979781565,5.239550871215,-5.23961137531,4.652441327129,-4.6523558254660005,5.23993882582925,4.65270327665225,4.94632105124075,-0.32706517357189063
27,0.001,-5000.6163085937,-5000,125.0008029938,5240.357426297,-5240.251654951,4653.057902058,-4652.994445811,5239.577163459,-5239.625635763,4652.467657187,-4652.320902122,-1.7628e-06,1000000,5.240357426297,-5.240251654951,4.653057902058,-4.652994445811,5.239577163459,-5.239625635763,4.6524676571870005,-4.652320902122,5.2399529701175,4.6527102267945,4.946331598456,-0.32685263744910886
28,0.001,-6000.1585693359,-6000,125.0001701355,5237.54496954,-5237.442304936,4649.641835358,-4649.628011546,5236.754246921,-5236.828752166,4649.109419768,-4648.951975523,-1.7687e-06,1000000,5.23754496954,-5.237442304936001,4.6496418353580005,-4.6496280115460005,5.2367542469210004,-5.236828752166001,4.649109419768,-4.648951975523,5.237142568390751,4.64933281054875,4.9432376894697505,-0.3891977593186251
29,0.001,-7000.3760986328,-7000,125.0005073547,5234.764785172,-5234.699716094,4646.339671486,-4646.253931471,5234.043707557,-5234.075840987,4645.756318411,-4645.619534657,-1.7695e-06,1000000,5.2347647851720005,-5.234699716094,4.646339671486,-4.6462539314710005,5.234043707556999,-5.234075840987001,4.645756318411,-4.645619534657,5.2343960124525,4.645992364006251,4.940194188229375,-0.45052711858049294
30,0.001,-8000.4492431641,-8000,125.0004123688,5232.021800275,-5231.970255108,4643.024557068,-4642.936149179,5231.37932294,-5231.290058798,4642.444124598,-4642.272297535,-1.7767e-06,1000000,5.232021800275,-5.231970255108,4.643024557068,-4.6429361491789995,5.23137932294,-5.231290058798001,4.642444124598,-4.6422722975349995,5.23166535928025,4.6426692820949995,4.9371673206876245,-0.5115212934615316
31,0.001,-9000.43125,-9000,125.0001472473,5229.363978513,-5229.303887971,4639.745019761,-4639.702347912,5228.576196962,-5228.637206628,4639.182699701,-4638.989493769,-1.7706e-06,1000000,5.229363978513,-5.2293038879710005,4.6397450197609995,-4.639702347911999,5.228576196962,-5.228637206628,4.639182699701,-4.6389894937689995,5.2289703175185,4.63940489028575,4.934187603902124,-0.5715653370821674
