,I,B,T,V1,V2,V3,V4,V5,V6,V7,V8,multiplier,RHc,RHd,R
26,2e-05,-500,249.9998939514,106.512592995,-106.482299535,-106.478078047,106.524726932,106.517495559,-106.48606641,-106.474412108,106.524797782,1000000.0,-0.00043347194999938666,-0.00017975445000004698,-0.00030661319999971683
27,2e-05,-1000,249.9994689941,106.498642909,-106.477102326,-106.485269075,106.497105722,106.496026394,-106.485319238,-106.479758859,106.53072173,1000000.0,-0.0002800198500011675,0.0014052895999995484,0.0005626348749991905
28,2e-05,-1500,249.9993682861,106.522250162,-106.488591257,-106.465633271,106.505387579,106.509714203,-106.471195841,-106.464261731,106.512388075,1000000.0,0.0014965687500001934,0.00028144779999976776,0.0008890082749999806
29,2e-05,-2000,249.9987709045,106.520370294,-106.474923553,-106.46527641,106.519106212,106.492803766,-106.467741367,-106.475118174,106.516182469,1000000.0,0.0017374357000001339,0.000345901050000208,0.001041668375000171
30,2e-05,-2500,249.9995452881,106.503305409,-106.476277473,-106.466306987,106.509314717,106.493744146,-106.471198933,-106.470543168,106.529235726,1000000.0,0.0007319901499997173,0.0012078595000005522,0.0009699248250001347
31,2e-05,-3000,250.0008544922,106.511618266,-106.476571459,-106.461879136,106.487517115,106.486272749,-106.472568501,-106.487747768,106.503102288,1000000.0,0.0014674237499995968,0.002072690250000164,0.0017700569999998805
32,2e-05,-3500,250.000063324,106.525940937,-106.484166571,-106.464291053,106.50827891,106.492872211,-106.467526014,-106.49599981,106.522646853,1000000.0,0.0024854641499999276,0.00230383499999931,0.0023946495749996187
33,2e-05,-4000,250.0007896423,106.513040499,-106.490375747,-106.46122648,106.496304246,106.492383102,-106.462432689,-106.480440103,106.515874824,1000000.0,0.0024300227499999493,0.0019392100500006393,0.0021846164000002945
34,2e-05,-4500,250.0000602722,106.513297815,-106.485432737,-106.467687943,106.497448465,106.456818183,-106.463697098,-106.484848782,106.535933641,1000000.0,0.00391076354999953,0.0027823007499996775,0.0033465321499996036
35,2e-05,-5000,249.9995628357,106.512069761,-106.4927372,-106.46686836,106.512703296,106.508979255,-106.451736709,-106.502495329,106.521265037,1000000.0,0.0022045498499991822,0.0022094354999993016,0.002206992674999242
36,2e-05,-6000,249.9997817993,106.526994449,-106.490006198,-106.466613437,106.50914012,106.479131729,-106.470420821,-106.49038143,106.520474538,1000000.0,0.0033724048499998104,0.0017551205499991341,0.0025637626999994723
37,2e-05,-7000,250.0001403809,106.522191746,-106.498122104,-106.464011782,106.470339604,106.485043246,-106.441900409,-106.486438779,106.534688255,1000000.0,0.004668509750000283,0.004338782399999986,0.004503646075000135
38,2e-05,-8000,250.0002113342,106.530519791,-106.499264894,-106.436620221,106.480943682,106.493071883,-106.44549557,-106.485571519,106.526655189,1000000.0,0.004560861600000266,0.004733140249999934,0.0046470009250001
39,2e-05,-9000,249.9996772766,106.534409941,-106.496597619,-106.44309327,106.473278166,106.476421981,-106.455122748,-106.516240069,106.538198314,1000000.0,0.004973141550000548,0.006903347349999223,0.005938244449999885
40,2e-05,-10000,250.0009124756,106.539703832,-106.488686147,-106.433485802,106.451069739,106.455801948,-106.443656418,-106.516274805,106.516685025,1000000.0,0.006446580649999589,0.007420214449999918,0.006933397549999753
41,2e-05,-11000,250.0010871887,106.530675132,-106.497105337,-106.428545655,106.457261679,106.455215416,-106.422214361,-106.472142575,106.53118687,1000000.0,0.007517534599999464,0.005876105550000688,0.0066968200750000765
42,2e-05,-12000,250.000567627,106.551067383,-106.501288723,-106.416089899,106.446940128,106.420108437,-106.428413628,-106.508829717,106.538934799,1000000.0,0.010191702049999663,0.009236724450001076,0.00971421325000037
