T,T_actual,H,I,V1,V2,V3,V4,V5,V6,V7,V8
321,320.9709717,-0.042451869,0.001,62.15041243,-61.98714014,25.17820639,-25.5858715,61.91599303,-62.19101702,25.13743558,-25.2494893
320,319.970462,-0.058779512,0.001,62.02809428,-61.90559111,25.16800405,-25.4227916,61.86501042,-62.05843398,25.26996068,-25.36161589
319,318.9698181,-0.06122866,0.001,62.04844997,-61.84437199,25.09667784,-25.64703036,61.86506643,-61.85456614,25.26993507,-25.43297842
318,317.9705307,-0.048166544,0.001,62.04845167,-61.8953947,25.11703893,-25.4941358,61.74266488,-61.98713581,25.2495467,-25.52469593
317,316.9701569,-0.039186341,0.001,61.86494659,-61.65069432,24.99471959,-25.37181717,61.89551923,-61.80365166,25.19859466,-25.3004259
316,315.96987,-0.023675081,0.001,61.8140208,-61.77307774,25.15784947,-25.33103959,61.70186867,-61.77304378,25.19859019,-25.23926531
315,314.969252,-0.030206138,0.001,61.83439034,-61.630342,24.96413736,-25.43296587,61.67124607,-61.80360984,25.157824,-25.35142174
314,313.9687042,-0.037553577,0.001,61.77325853,-61.59970991,25.01511003,-25.31062577,61.58976644,-61.78324716,25.10682279,-25.3106527
313,312.9696381,-0.081638213,0.001,61.67130515,-61.47746777,24.953945,-25.37182635,61.47761297,-61.66090943,25.02528152,-25.17810499
312,311.9696976,-0.034288048,0.001,61.64065851,-61.45699229,24.93353649,-25.35142148,61.4368458,-61.62016266,24.94371839,-25.04560696
311,310.9694992,-0.040819105,0.001,61.62028069,-61.47735559,24.98450825,-25.218887,61.39604507,-61.56916371,25.00487939,-25.32082117
310,309.9700958,-0.059595894,0.001,61.55908573,-61.25311507,24.96411797,-25.36159427,61.24315048,-61.53854682,24.87236085,-25.29023388
309,308.9695618,-0.058779512,0.001,61.4673722,-61.21239381,24.92333419,-25.16791193,61.26351564,-61.38566499,24.96409443,-25.14752051
308,307.9701645,-0.097965855,0.001,61.34509518,-61.05948688,24.9131612,-25.20872432,61.10046107,-61.32447527,24.80100908,-25.13737125
307,306.9691772,-0.06939248,0.001,61.38581852,-61.04929239,24.88257684,-25.12715789,61.20233591,-61.34488665,24.92333883,-25.10676226
306,305.9696396,-0.075923538,0.001,61.35531577,-61.15121657,24.81124011,-25.2290876,60.99851056,-61.2123892,24.97429986,-25.0761752
305,304.9695572,-0.041635488,0.001,61.06987849,-61.02889673,24.85202607,-25.15773263,60.88635685,-61.05946475,24.79083235,-25.07617581
304,303.9692703,-0.075923537,0.001,61.09022642,-60.73325911,24.82143781,-25.18832493,60.92714382,-61.21237276,24.77044486,-25.0456167
303,302.9699326,-0.065310569,0.001,60.8863715,-60.71287721,24.8316088,-25.11696349,60.95771477,-60.99827883,24.90296399,-24.98443827
302,301.9693192,-0.091434797,0.001,60.92712808,-60.89636646,24.7602553,-24.97425313,60.73346095,-60.85563619,24.78062486,-25.05579695
301,300.9690811,-0.05796313,0.001,60.81499398,-60.65170067,24.63792956,-24.94365598,60.64174919,-60.6924805,24.70929843,-24.97422975
300,299.9694992,-0.040819106,0.001,60.93731327,-60.60080848,24.68888709,-25.04559734,60.50916169,-60.77406082,24.84179604,-24.88250351
299,298.9687378,-0.060412277,0.001,60.81495726,-60.3764601,24.57673413,-24.95385546,60.52951882,-60.63128576,24.76022605,-24.8824803
298,297.9686951,-0.093883944,0.001,60.61109515,-60.42747371,24.57676082,-24.88249896,60.35625327,-60.63131342,24.66849533,-24.94365306
297,296.9690216,-0.043268252,0.001,60.58055043,-60.24393479,24.59715393,-24.95384424,60.33591808,-60.52939318,24.64807885,-24.73978186
296,295.9684158,-0.050615691,0.001,60.58052032,-60.36626705,24.60733124,-24.83152524,60.3053181,-60.35607431,24.80100598,-24.9130673
295,294.9688293,-0.039186341,0.001,60.44798443,-60.24394513,24.811188,-24.83150406,60.76393823,-60.49877022,24.70924433,-24.74996414
294,293.9691681,-0.044901016,0.001,60.34606191,-60.28471898,24.83158383,-24.72957109,62.27261222,-60.17261845,24.64810032,-24.6786054
293,292.9684464,-0.064494187,0.001,60.39701167,-60.24397058,24.6379191,-24.66843228,62.91483539,-60.01965138,24.61751367,-24.70920902
292,291.9688538,-0.033471666,0.001,60.36642395,-60.0400785,24.93350998,-24.65823196,63.22063358,-60.00946841,24.5053757,-24.66843123
291,290.9684036,-0.05796313,0.001,60.28483436,-60.09103779,24.92331584,-24.50533067,63.64877767,-59.85655428,24.42383394,-24.5155081
290,289.9684265,-0.044084634,0.001,60.23389533,-59.98910927,24.78064026,-24.49512114,64.08704151,-59.79541451,24.55636635,-24.43395013
289,288.9686188,-0.030206138,0.001,60.20334152,-59.87700077,24.95391931,-24.38299057,64.41326371,-59.51000218,24.5359598,-24.54610031
288,287.9691986,-0.063677806,0.001,60.18296776,-59.85652736,24.96410831,-24.53589347,65.00449729,-59.48956851,24.760207,-24.5154902
287,286.9688889,-0.012245731,0.001,59.99941863,-59.78518101,25.0456245,-24.34222225,65.17782882,-59.30608519,24.91311888,-24.40340751
286,285.9681335,-0.042451869,0.001,59.6834522,-59.68326755,25.07620583,-24.46454745,65.58549695,-59.23479032,24.79079871,-24.44414782
285,284.9686295,-0.048982926,0.001,59.75480485,-59.74445344,25.07623458,-24.32185622,65.51418669,-59.71386525,24.63790766,-24.4849498
284,283.9679337,-0.035920813,0.001,59.79556179,-59.72399989,24.51561144,-24.49513116,63.81186903,-59.24495805,24.47481537,-24.33202254
283,282.9680618,-0.078372683,0.001,59.58150382,-59.40802972,24.46462747,-24.36261931,64.68851298,-59.04109523,24.30153669,-24.43395165
282,281.9681595,-0.024491463,0.001,59.5305585,-59.41825488,24.56655954,-24.44416158,65.12684506,-58.91879854,24.3932396,-24.39318457
281,280.968277,-0.051432073,0.001,59.30626713,-59.35709606,24.39324303,-24.23009091,66.1563367,-58.53138879,24.34229706,-24.43394871
280,279.969043,-0.056330366,0.001,59.14319675,-59.04110802,24.54616186,-24.3625892,68.2256121,-58.10330534,24.18939716,-24.49510757
279,278.9681427,-0.061228659,0.001,59.0310484,-59.02066482,24.53594186,-24.43395816,70.5497939,-57.47127272,24.18937716,-24.53588399
278,277.9670395,-0.040819105,0.001,58.91894182,-58.95957026,24.56654764,-24.41358591,73.5670398,-56.83928078,24.11803244,-24.73975308
277,276.9677429,-0.028573373,0.001,58.71504824,-58.58236264,24.60733036,-24.32184332,75.7280721,-56.33983079,23.99570062,-24.69901901
276,275.966777,-0.038369959,0.001,58.65397119,-58.5211973,24.66848282,-24.37281166,78.1541586,-55.83012619,23.99573032,-24.81114141
275,274.967598,-0.05061569,0.001,58.64372634,-58.36832672,24.65830063,-24.39318111,79.9380162,-55.87087323,23.98552652,-24.58686064
274,273.9675781,-0.063677805,0.001,58.36851088,-58.37844311,24.77042957,-24.37279062,81.2019716,-55.34083631,23.76126287,-24.6174404
273,272.9677856,-0.040002723,0.001,58.34810005,-58.07268407,24.688859,-24.42377068,82.1193895,-55.01460164,23.84282521,-24.66841642
272,271.9677475,-0.021225935,0.001,58.06272145,-57.98093744,24.84175987,-24.29121939,85.1264588,-54.280672,23.63893328,-24.87227601
271,270.9679382,-0.049799309,0.001,58.01163379,-57.79745805,24.86216577,-24.41355759,86.7370165,-54.0767765,23.6694788,-24.84167499
270,269.9675323,-0.044901016,0.001,57.919901,-57.83823713,24.68886446,-24.30143675,88.5922103,-53.7505981,23.52679079,-24.82129024
269,268.9684891,-0.084903741,0.001,57.67524318,-57.56295262,24.8825226,-24.25046621,88.6636338,-53.2919531,23.63892406,-24.71937584
268,267.9679703,-0.055513983,0.001,57.71600842,-57.45083028,25.03543864,-24.26066788,89.2242637,-53.1797151,23.50637626,-24.770339
267,266.9674911,-0.058779512,0.001,57.31847141,-57.38975082,24.97429669,-24.2300798,90.2333884,-52.7617675,23.65930287,-24.7703331
266,265.9673492,-0.037553577,0.001,57.40006285,-57.20615193,24.90293157,-24.19949186,92.2109159,-52.5681519,23.62871551,-24.65818543
265,264.9671295,-0.053881219,0.001,57.06368395,-57.21638516,25.02524399,-24.12814016,92.761432,-52.2623045,23.61851482,-24.81112105
264,263.9665054,-0.072658008,0.001,57.05344963,-56.95140612,24.98447624,-24.00581513,91.8337374,-52.0482585,23.79184467,-24.82128943
263,262.9673004,-0.050615691,0.001,56.71707866,-56.44166472,25.38202132,-24.18928874,91.0182228,-51.8546342,24.06706558,-24.81110644
262,261.9659988,-0.071025245,0.001,56.54379064,-56.34991879,25.57570142,-24.11794579,95.4014979,-51.0289352,23.985523,-25.00480381
261,260.9675339,-0.041635487,0.001,56.31949744,-56.3906539,25.62665722,-24.00581841,94.3413519,-51.3143122,23.98549599,-24.77033616
260,259.9668182,-0.090618416,0.001,56.5336244,-56.33980006,25.70822625,-24.07715233,93.9846233,-50.4784919,24.19955507,-24.94361127
259,258.9670273,-0.053881219,0.001,56.25836694,-56.16642897,25.58589045,-23.91406014,164.1977965,-42.5682899,21.2434308,-26.6459352
258,257.9670395,-0.040002723,0.001,55.75881298,-55.38147304,26.43191719,-24.20965981,196.9289403,-32.7416454,19.0211973,-26.7376866
257,256.9666901,-0.066943334,0.001,54.86173992,-54.93296152,26.77846293,-24.11790838,240.761001,-32.8130045,18.2158501,-28.03230977
256,255.9673698,-0.022042317,0.001,54.59671763,-54.16842182,27.99151206,-24.27080438,222.6065359,-34.1177752,19.8876249,-28.23616458
255,254.9667015,-0.040002723,0.001,54.33172405,-54.30098119,29.01088766,-23.90386391,145.1051656,-42.3235631,23.5777535,-26.4318945
254,253.9671646,0.006531057,0.001,54.42345818,-53.92382636,29.38802744,-23.69999563,134.1062609,-43.740562,24.3728268,-25.92220644
253,252.9670395,-0.021225935,0.001,54.22977803,-53.91358749,29.17396368,-23.7305622,140.9053415,-42.5682071,24.5461017,-26.0547102
252,251.9667267,-0.020409552,0.001,54.34191645,-53.93402743,28.76622966,-23.76114384,134.7992483,-43.709859,24.433962,-25.70813193
251,250.9673759,-0.026940609,0.001,54.18899837,-53.93399077,28.72545758,-23.75093528,128.1940004,-44.3316175,24.4747569,-25.48387771
250,249.9667557,-0.05796313,0.001,53.96477766,-53.48544894,28.3075366,-23.77133685,129.172524,-44.0258539,24.6073042,-25.76930328
249,248.9665283,-0.039186341,0.001,54.02591045,-53.33261856,28.41964729,-23.77134088,130.4672555,-43.6996796,24.4237969,-25.60621439
248,247.9661507,-0.031838902,0.001,53.56720225,-53.25106047,27.96096234,-23.57765478,124.249129,-43.8220665,24.5053471,-25.2902
