Magnetic Field (Oe)	Bridge 1 Excitation (uA)	Bridge 1 Std. Dev. (Ohm)	Bridge 1 Resistance (Ohms)
1600.3446875	799.999755859375	2.3162293541032e-005	0.0147280169278383
1400.23706054688	799.999755859375	1.42022197485424e-005	0.0147848274186254
1200.20640625	799.999755859375	1.85361623725238e-005	0.0148289095982909
1000.59189697266	799.999755859375	1.9410202407849e-005	0.0148821735009551
800.512951660156	799.999755859375	1.47823190403781e-005	0.0149314717575908
600.233537597656	799.999755859375	1.92343291595157e-005	0.0149767607823014
400.386444091797	799.999755859375	1.78029473509814e-005	0.0150343474373221
200.236326904297	799.999755859375	1.77663840837081e-005	0.015086484067142
-0.000653105676174164	799.999755859375	1.8969776639271e-005	0.0151317744702101
-199.987494506836	799.999755859375	1.72167209971839e-005	0.0151740463450551
-400.11865234375	799.999755859375	1.75767372760903e-005	0.0152364498376846
-600.104184570313	799.999755859375	1.43141718378516e-005	0.0152812253683805
-800.264748535156	799.999755859375	1.31441100479281e-005	0.0153324752300978
-1000.41552734375	799.999755859375	1.83326742229153e-005	0.0153853727132082
-1200.40043457031	799.999755859375	2.03261782165135e-005	0.0154302295297384
-1400.60209472656	799.999755859375	2.27005845401446e-005	0.0154757496714592
-1600.31791992188	799.999755859375	1.85798059303756e-005	0.0155354446172714
-1800.31716796875	799.999755859375	1.63498158028868e-005	0.0155852852016687
-2000.46145507813	799.999755859375	1.46089553778382e-005	0.0156270962581038
-2200.58736328125	799.999755859375	2.0574644552592e-005	0.0156769226491451
-2400.18102539063	799.999755859375	2.15188637396365e-005	0.0157344627380371
-2600.18805664062	799.999755859375	1.88629395651002e-005	0.0157849465310574
-2800.32655273438	799.999755859375	1.71809014173453e-005	0.0158219629526138
-3000.47264648438	799.999755859375	1.59374717064373e-005	0.0158834938704968
-3200.26879882813	799.999755859375	1.6770219996549e-005	0.0159337805211544
-3400.18768554687	799.999755859375	2.58955502612577e-005	0.015985357016325
-3600.364609375	799.999755859375	1.77366140367091e-005	0.0160244879126549
-3800.58265625	799.999755859375	1.91629721439317e-005	0.0160779778659344
-4000.5315625	799.999755859375	1.97061723652358e-005	0.0161270857602358
-4200.4257421875	799.999755859375	1.58180648540214e-005	0.0161784193664789
-4400.01744140625	799.999755859375	1.71444888326663e-005	0.0162274664640427
-4600.17404296875	799.999755859375	2.34579661770539e-005	0.0162710782140493
-4800.31958984375	799.999755859375	1.69698695895013e-005	0.0163262891024351
-5000.5343359375	799.999755859375	2.13433189672931e-005	0.0163755320012569
-5200.47216796875	799.999755859375	1.96209720244974e-005	0.0164266994595528
-5400.18794921875	799.999755859375	1.78137670034624e-005	0.0164705221354961
-5600.20232421875	799.999755859375	2.06386062237292e-005	0.0165295793116093
-5800.10232421875	799.999755859375	1.54685489113247e-005	0.0165778268128634
-6000.0532421875	799.999755859375	1.55040809248764e-005	0.016627220287919
-6200.29337890625	799.999755859375	2.44504550301809e-005	0.016683856844902
-6400.2174609375	799.999755859375	1.7977448734629e-005	0.0167277039587498
-6600.3375	799.999755859375	1.98608727555813e-005	0.0167763049155474
-6800.32853515625	799.999755859375	2.01401458856563e-005	0.0168222093582153
-7000.23830078125	799.999755859375	1.71295092347068e-005	0.0168826366215944
-7200.09841796875	799.999755859375	1.7308856951132e-005	0.0169238233566284
-7400.10470703125	799.999755859375	1.51443130782752e-005	0.0169753255695105
-7600.0310546875	799.999755859375	2.19724240530468e-005	0.0170289056748152
-7800.13712890625	799.999755859375	1.96161139447993e-005	0.0170724860578775
-8000.15416015625	799.999755859375	1.47476464273046e-005	0.0171153747290373
-8200.2871484375	799.999755859375	2.18318918496873e-005	0.0171814804524183
-8400.24	799.999755859375	1.26398477755567e-005	0.0172245259582996
-8600.2039453125	799.999755859375	1.55511925942918e-005	0.0172801343351603
-8800.138984375	799.999755859375	1.99078948613918e-005	0.0173278149962425
-9000.2724609375	799.999755859375	2.01665214051851e-005	0.0173769603669643
-9200.2364453125	799.999755859375	1.89614384855635e-005	0.0174326001107693
-9400.4359375	799.999755859375	1.58471640000095e-005	0.0174726915359497
-9600.317265625	799.999755859375	2.22122736506832e-005	0.0175339917838573
-9800.290390625	799.999755859375	1.84620499433545e-005	0.0175734496116638
